Focus area: 21-Oral Health - 03-18-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,1998 footnote,1998 data,1998 raw value,1998 se,1999 footnote,1999 data,1999 raw value,1999 se,2000 footnote,2000 data,2000 raw value,2000 se,2001 footnote,2001 data,2001 raw value,2001 se,2002 footnote,2002 data,2002 raw value,2002 se,2003 footnote,2003 data,2003 raw value,2003 se,2004 footnote,2004 data,2004 raw value,2004 se,2005 footnote,2005 data,2005 raw value,2005 se,2006 footnote,2006 data,2006 raw value,2006 se,2007 data,2007 raw value,2007 se,2008 data,2008 raw value,2008 se
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,3,4",70%,70.1,1.3,,DNC,.,.,"3,4",72%,71.9,1.1,"3,4",72%,71.8,1.0,,DNC,.,.,"3,4",82%,81.5,0.5,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,"3,4",69%,69.0,1.4,,DNC,.,.,"3,4",73%,73.1,1.2,"3,4",70%,69.6,1.1,,DNC,.,.,"3,4",79%,79.1,0.6,,---,.,.,,---,.,.,---,.,.,---,.,.
               Female,,DNC,.,.,"3,4",65%,65.2,1.8,,DNC,.,.,"3,4",65%,65.3,1.5,"3,4",65%,65.5,1.5,,DNC,.,.,"3,4",76%,75.7,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Male,,DNC,.,.,"3,4",43%,43.0,3.0,,DNC,.,.,"3,4",45%,45.0,2.7,"3,4",42%,41.5,2.4,,DNC,.,.,"3,4",60%,59.9,1.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               Less than high school,,DNC,.,.,"3,4",64%,64.1,2.1,,DNC,.,.,"3,4",68%,67.6,1.8,"3,4",64%,63.8,1.7,,DNC,.,.,"3,4",72%,71.9,1.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               High school graduate,,DNC,.,.,"3,4",76%,76.2,1.5,,DNC,.,.,"3,4",78%,78.0,1.2,"3,4",79%,78.7,1.1,,DNC,.,.,"3,4",84%,83.7,0.6,,---,.,.,,---,.,.,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",59%,58.6,2.4,,DNC,.,.,,DNC,.,.,"3,4",73%,73.0,1.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",72%,71.6,1.0,,DNC,.,.,,DNC,.,.,"3,4",78%,78.3,0.6,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons without disabilities,"3,4",71%,70.8,1.2,"3,4",66%,66.2,1.2,,DNC,.,.,"3,4",70%,70.4,1.0,"3,4",69%,69.2,1.0,,DNC,.,.,"3,4",75%,75.4,1.0,,---,.,.,,---,.,.,---,.,.,---,.,.
            STATE:North Dakota,"2,3,4",68%,68.4,5.9,"2,3,4",61%,61.1,7.2,,DNC,.,.,"3,4",72%,72.2,6.1,"3,4",60%,60.0,6.1,,DNC,.,.,"3,4",65%,64.8,6.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"2,3,4",DSU,36.0,21.7,"2,3,4",DSU,57.7,18.0,,DNC,.,.,"3,4",DSU,64.3,12.6,"3,4",DSU,67.1,15.2,,DNC,.,.,"3,4",DSU,35.5,16.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,100.0,0.0,"3,4",DSU,100.0,0.0,,DNC,.,.,"3,4",DSU,33.8,31.6,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,74.9,12.6,"3,4",DSU,83.2,14.8,,DNC,.,.,"3,4",DSU,69.4,15.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Black or African American only,"2,3,4",71%,70.9,1.2,"2,3,4",66%,66.4,1.2,,DNC,.,.,"3,4",70%,70.4,1.0,"3,4",70%,69.7,1.0,,DNC,.,.,"3,4",76%,76.4,1.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,68.5,13.1,"3,4",DSU,52.9,14.1,,DNC,.,.,"3,4",DSU,57.0,11.3,,---,.,.,,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,57.3,17.4,"3,4",DSU,53.2,15.0,,DNC,.,.,"3,4",DSU,57.4,13.5,,---,.,.,,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,0.0,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Black or African American; White,"3,4",DSU,71.3,9.1,"3,4",DSU,67.0,10.5,,DNC,.,.,"3,4",DSU,63.6,9.0,"3,4",DSU,71.0,7.4,,DNC,.,.,"3,4",DSU,78.6,9.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,"3,4",71%,70.8,1.2,"3,4",66%,66.2,1.2,,DNC,.,.,"3,4",71%,70.5,1.0,"3,4",69%,69.4,1.0,,DNC,.,.,"3,4",75%,75.5,1.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,"2,3,4",DSU,89.6,10.6,"2,3,4",DSU,62.0,23.0,,DNC,.,.,"3,4",DSU,74.9,12.6,"3,4",DSU,83.2,14.8,,DNC,.,.,"3,4",DSU,69.4,15.9,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","2,3,4",71%,71.0,1.2,"2,3,4",66%,66.5,1.2,,DNC,.,.,"3,4",71%,70.5,1.0,"3,4",70%,69.9,1.0,,DNC,.,.,"3,4",76%,76.4,1.0,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","3,4",72%,71.8,1.6,"3,4",71%,70.8,1.5,,DNC,.,.,"3,4",72%,71.6,1.3,"3,4",72%,71.9,1.2,,DNC,.,.,"3,4",78%,77.8,1.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               Female,"3,4",70%,69.8,1.6,"3,4",62%,61.5,1.8,,DNC,.,.,"3,4",69%,69.0,1.5,"3,4",66%,66.4,1.5,,DNC,.,.,"3,4",73%,72.8,1.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               Male,"3,4",52%,52.5,3.6,"3,4",38%,37.8,3.3,,DNC,.,.,"3,4",52%,51.9,4.0,"3,4",49%,48.6,3.5,,DNC,.,.,"3,4",64%,63.8,4.1,,---,.,.,,---,.,.,---,.,.,---,.,.
               Less than high school,"3,4",63%,63.0,2.5,"3,4",61%,60.7,2.4,,DNC,.,.,"3,4",61%,61.1,2.1,"3,4",64%,64.3,1.9,,DNC,.,.,"3,4",71%,70.7,1.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               High school graduate,"3,4",76%,76.3,1.5,"3,4",74%,73.8,1.5,,DNC,.,.,"3,4",78%,77.5,1.3,"3,4",75%,74.6,1.2,,DNC,.,.,"3,4",79%,79.5,1.1,,---,.,.,,---,.,.,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",64%,64.4,2.6,"3,4",60%,60.3,2.4,,DNC,.,.,"3,4",71%,70.8,2.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",71%,71.4,1.1,"3,4",71%,71.0,1.1,,DNC,.,.,"3,4",76%,76.3,1.1,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons without disabilities,"3,4",70%,70.1,1.2,"3,4",69%,68.9,1.3,"3,4",71%,71.1,1.2,,DNC,.,.,"3,4",73%,73.1,0.9,"3,4",79%,79.1,0.9,"3,4",78%,78.1,1.1,,---,.,.,,---,.,.,---,.,.,---,.,.
            STATE:Ohio,"2,3,4",DSU,29.1,16.6,"2,3,4",DSU,41.6,17.7,"2,3,4",DSU,59.1,14.2,,DNC,.,.,"3,4",DSU,59.8,9.6,"3,4",DSU,78.6,10.5,"3,4",DSU,85.3,9.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,"2,3,4",DSU,81.1,9.3,"2,3,4",DSU,76.4,17.5,"2,3,4",DSU,83.5,11.3,,DNC,.,.,"3,4",DSU,66.9,9.4,"3,4",DSU,66.0,9.4,"3,4",92%,92.5,4.1,,---,.,.,,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,100.0,0.0,"3,4",DSU,37.5,28.8,"3,4",DSU,98.3,2.0,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",61%,61.4,3.9,"3,4",72%,72.3,3.3,"3,4",68%,67.8,3.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Black or African American only,"2,3,4",71%,70.9,1.2,"2,3,4",70%,70.4,1.4,"2,3,4",72%,72.2,1.2,,DNC,.,.,"3,4",75%,74.9,0.9,"3,4",81%,80.6,0.9,"3,4",79%,79.2,1.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,50.1,13.0,"3,4",72%,71.8,8.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,67.0,13.1,"3,4",DSU,59.4,13.3,,---,.,.,,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,62.8,22.0,"3,4",DSU,61.8,16.3,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Black or African American; White,"3,4",83%,83.3,6.4,"3,4",DSU,50.3,11.0,"3,4",70%,70.1,8.7,,DNC,.,.,"3,4",61%,61.3,6.5,"3,4",78%,77.5,5.6,"3,4",70%,69.6,7.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,"3,4",70%,69.9,1.2,"3,4",69%,69.3,1.3,"3,4",71%,71.3,1.2,,DNC,.,.,"3,4",74%,73.5,0.9,"3,4",79%,79.1,0.9,"3,4",79%,78.5,1.1,,---,.,.,,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,"2,3,4",64%,63.7,4.1,"2,3,4",57%,56.6,4.5,"2,3,4",61%,60.8,4.3,,DNC,.,.,"3,4",61%,60.9,4.1,"3,4",72%,72.2,3.3,"3,4",67%,67.3,3.9,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino","2,3,4",71%,70.8,1.3,"2,3,4",71%,70.6,1.4,"2,3,4",72%,72.2,1.2,,DNC,.,.,"3,4",75%,75.0,0.9,"3,4",81%,80.6,0.9,"3,4",79%,79.4,1.2,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino","3,4",72%,71.5,1.5,"3,4",68%,68.1,1.7,"3,4",72%,72.2,1.4,,DNC,.,.,"3,4",75%,75.4,1.1,"3,4",81%,80.7,1.1,"3,4",80%,79.8,1.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               Female,"3,4",69%,68.6,1.9,"3,4",70%,69.8,2.1,"3,4",70%,70.0,1.8,,DNC,.,.,"3,4",71%,70.7,1.3,"3,4",77%,77.2,1.5,"3,4",76%,76.3,1.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Male,"3,4",41%,40.5,3.8,"3,4",43%,43.5,4.1,"3,4",48%,47.9,4.8,,DNC,.,.,"3,4",44%,43.8,3.4,"3,4",57%,56.6,4.7,"3,4",56%,56.3,5.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               Less than high school,"3,4",67%,66.6,2.0,"3,4",65%,64.9,2.2,"3,4",65%,64.5,2.1,,DNC,.,.,"3,4",69%,68.9,1.6,"3,4",77%,77.3,1.6,"3,4",75%,74.6,2.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               High school graduate,"3,4",77%,77.0,1.6,"3,4",78%,78.2,1.8,"3,4",79%,79.2,1.5,,DNC,.,.,"3,4",80%,79.8,1.1,"3,4",82%,82.2,1.1,"3,4",83%,83.2,1.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",66%,66.5,2.0,"3,4",76%,75.9,2.0,"3,4",77%,77.2,2.6,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",75%,74.7,1.0,"3,4",80%,79.7,1.0,"3,4",78%,78.5,1.3,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,"3,4",59%,59.1,1.1,,DNC,.,.,,DNC,.,.,"3,4",61%,60.5,0.7,,DNC,.,.,"3,4",71%,70.7,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
            STATE:Oklahoma,,DNC,.,.,"2,3,4",50%,50.4,4.6,,DNC,.,.,,DNC,.,.,"3,4",59%,59.0,3.1,,DNC,.,.,"3,4",68%,67.8,3.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,3,4",DSU,74.5,7.6,,DNC,.,.,,DNC,.,.,"3,4",75%,75.3,5.2,,DNC,.,.,"3,4",68%,68.3,7.3,,---,.,.,,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,75.4,8.8,,DNC,.,.,"3,4",DSU,85.0,14.1,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",54%,54.1,3.0,,DNC,.,.,"3,4",66%,65.7,3.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,3,4",60%,59.8,1.2,,DNC,.,.,,DNC,.,.,"3,4",62%,62.2,0.8,,DNC,.,.,"3,4",73%,73.1,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",63%,62.8,4.6,,DNC,.,.,"3,4",69%,68.8,3.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",64%,64.4,5.1,,DNC,.,.,"3,4",71%,71.0,3.9,,---,.,.,,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,76.5,13.3,,DNC,.,.,"3,4",DSU,71.2,16.0,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,"3,4",59%,59.1,5.1,,DNC,.,.,,DNC,.,.,"3,4",46%,45.7,3.8,,DNC,.,.,"3,4",52%,52.3,3.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,"3,4",59%,59.0,1.1,,DNC,.,.,,DNC,.,.,"3,4",61%,61.5,0.7,,DNC,.,.,"3,4",72%,72.3,0.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,3,4",55%,55.2,4.7,,DNC,.,.,,DNC,.,.,"3,4",54%,54.0,3.0,,DNC,.,.,"3,4",66%,65.7,3.4,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,3,4",59%,59.4,1.2,,DNC,.,.,,DNC,.,.,"3,4",62%,62.3,0.8,,DNC,.,.,"3,4",73%,73.4,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,"3,4",59%,59.2,1.3,,DNC,.,.,,DNC,.,.,"3,4",64%,63.7,0.9,,DNC,.,.,"3,4",73%,72.8,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Female,,DNC,.,.,"3,4",59%,58.9,1.7,,DNC,.,.,,DNC,.,.,"3,4",57%,57.1,1.2,,DNC,.,.,"3,4",69%,68.5,1.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               Male,,DNC,.,.,"3,4",33%,33.1,2.9,,DNC,.,.,,DNC,.,.,"3,4",36%,35.7,2.0,,DNC,.,.,"3,4",51%,50.5,2.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Less than high school,,DNC,.,.,"3,4",52%,52.5,1.9,,DNC,.,.,,DNC,.,.,"3,4",54%,53.8,1.3,,DNC,.,.,"3,4",67%,67.3,1.3,,---,.,.,,---,.,.,---,.,.,---,.,.
               High school graduate,,DNC,.,.,"3,4",70%,70.5,1.4,,DNC,.,.,,DNC,.,.,"3,4",69%,68.7,1.0,,DNC,.,.,"3,4",77%,76.9,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",52%,52.1,1.6,,DNC,.,.,"3,4",68%,68.0,1.6,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",62%,62.1,0.8,,DNC,.,.,"3,4",71%,71.4,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,"3,4",67%,67.0,1.2,,DNC,.,.,,DNC,.,.,"3,4",68%,68.0,1.0,,DNC,.,.,"3,4",74%,74.0,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
            STATE:Oregon,,DNC,.,.,"2,3,4",DSU,50.8,10.0,,DNC,.,.,,DNC,.,.,"3,4",DSU,63.0,7.7,,DNC,.,.,"3,4",75%,75.3,7.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,3,4",DSU,77.8,7.4,,DNC,.,.,,DNC,.,.,"3,4",71%,71.2,6.6,,DNC,.,.,"3,4",69%,68.6,6.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,53.3,13.1,,DNC,.,.,"3,4",DSU,90.0,6.9,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,74.8,8.4,,DNC,.,.,"3,4",62%,62.4,8.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,3,4",69%,68.7,1.3,,DNC,.,.,,DNC,.,.,"3,4",70%,70.0,1.1,,DNC,.,.,"3,4",75%,75.4,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",58%,58.2,6.9,,DNC,.,.,"3,4",68%,68.1,4.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,54.5,8.1,,DNC,.,.,"3,4",70%,69.7,5.1,,---,.,.,,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,69.1,15.7,,DNC,.,.,"3,4",DSU,76.1,14.4,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,"3,4",47%,47.3,5.5,,DNC,.,.,,DNC,.,.,"3,4",48%,48.4,4.4,,DNC,.,.,"3,4",62%,62.3,3.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,"3,4",68%,68.5,1.3,,DNC,.,.,,DNC,.,.,"3,4",70%,70.0,1.0,,DNC,.,.,"3,4",75%,75.1,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,3,4",DSU,53.3,14.8,,DNC,.,.,,DNC,.,.,"3,4",DSU,76.9,8.4,,DNC,.,.,"3,4",61%,61.2,8.2,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,3,4",69%,69.3,1.3,,DNC,.,.,,DNC,.,.,"3,4",71%,70.5,1.1,,DNC,.,.,"3,4",76%,75.6,0.8,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,"3,4",69%,68.6,1.6,,DNC,.,.,,DNC,.,.,"3,4",70%,69.9,1.2,,DNC,.,.,"3,4",75%,75.1,1.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               Female,,DNC,.,.,"3,4",65%,65.2,1.9,,DNC,.,.,,DNC,.,.,"3,4",66%,66.1,1.6,,DNC,.,.,"3,4",73%,72.8,1.3,,---,.,.,,---,.,.,---,.,.,---,.,.
               Male,,DNC,.,.,"3,4",39%,38.6,4.4,,DNC,.,.,,DNC,.,.,"3,4",41%,41.1,3.5,,DNC,.,.,"3,4",61%,60.6,3.4,,---,.,.,,---,.,.,---,.,.,---,.,.
               Less than high school,,DNC,.,.,"3,4",62%,62.3,2.5,,DNC,.,.,,DNC,.,.,"3,4",64%,64.1,2.0,,DNC,.,.,"3,4",67%,67.3,1.6,,---,.,.,,---,.,.,---,.,.,---,.,.
               High school graduate,,DNC,.,.,"3,4",75%,75.4,1.5,,DNC,.,.,,DNC,.,.,"3,4",76%,76.5,1.1,,DNC,.,.,"3,4",80%,79.7,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",73%,72.8,1.5,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",75%,74.5,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Persons without disabilities,,DNC,.,.,"3,4",71%,71.3,0.9,,DNC,.,.,"3,4",71%,70.9,0.9,"3,4",71%,71.4,0.5,,DNC,.,.,"3,4",76%,75.9,0.7,,---,.,.,,---,.,.,---,.,.,---,.,.
            STATE:Pennsylvania,,DNC,.,.,"2,3,4",DSU,63.9,14.5,,DNC,.,.,"3,4",DSU,71.0,11.8,"3,4",41%,40.8,8.4,,DNC,.,.,"3,4",DSU,61.4,14.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               American Indian or Alaska Native only,,DNC,.,.,"2,3,4",DSU,61.8,9.1,,DNC,.,.,"3,4",DSU,44.1,9.3,"3,4",67%,66.8,6.3,,DNC,.,.,"3,4",71%,71.5,8.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,72.7,23.5,"3,4",DSU,95.1,5.3,,DNC,.,.,"3,4",DSU,87.8,11.5,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",64%,64.1,3.7,"3,4",62%,62.3,2.4,,DNC,.,.,"3,4",62%,62.3,3.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               Black or African American only,,DNC,.,.,"2,3,4",72%,72.1,0.9,,DNC,.,.,"3,4",72%,72.4,0.9,"3,4",73%,72.9,0.5,,DNC,.,.,"3,4",78%,77.9,0.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",72%,71.5,7.5,"3,4",51%,51.1,6.2,,DNC,.,.,"3,4",61%,61.3,7.0,,---,.,.,,---,.,.,---,.,.,---,.,.
               2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,61.4,12.0,"3,4",53%,53.4,8.6,,DNC,.,.,"3,4",DSU,40.8,10.8,,---,.,.,,---,.,.,---,.,.,---,.,.
                  American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,"3,4",DSU,90.1,9.7,"3,4",DSU,39.4,15.1,,DNC,.,.,"3,4",DSU,77.8,15.1,,---,.,.,,---,.,.,---,.,.,---,.,.
                  Black or African American; White,,DNC,.,.,"3,4",75%,75.1,5.8,,DNC,.,.,"3,4",56%,56.1,6.8,"3,4",68%,67.7,3.6,,DNC,.,.,"3,4",83%,82.5,3.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               Hispanic or Latino,,DNC,.,.,"3,4",71%,71.2,0.9,,DNC,.,.,"3,4",72%,71.5,0.9,"3,4",72%,71.6,0.5,,DNC,.,.,"3,4",76%,75.8,0.7,,---,.,.,,---,.,.,---,.,.,---,.,.
               Not Hispanic or Latino,,DNC,.,.,"2,3,4",63%,62.9,3.5,,DNC,.,.,"3,4",64%,63.9,3.8,"3,4",63%,62.5,2.4,,DNC,.,.,"3,4",61%,61.3,3.7,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  Black or African American only, not Hisp/Latino",,DNC,.,.,"2,3,4",72%,71.9,0.9,,DNC,.,.,"3,4",73%,72.8,0.9,"3,4",73%,72.9,0.5,,DNC,.,.,"3,4",78%,77.8,0.7,,---,.,.,,---,.,.,---,.,.,---,.,.
"                  White only, not Hispanic or Latino",,DNC,.,.,"3,4",71%,71.4,1.1,,DNC,.,.,"3,4",75%,74.6,1.1,"3,4",74%,73.6,0.7,,DNC,.,.,"3,4",77%,77.4,0.9,,---,.,.,,---,.,.,---,.,.,---,.,.
               Female,,DNC,.,.,"3,4",71%,71.1,1.4,,DNC,.,.,"3,4",67%,66.9,1.4,"3,4",69%,69.0,0.8,,DNC,.,.,"3,4",74%,74.2,1.2,,---,.,.,,---,.,.,---,.,.,---,.,.
               Male,,DNC,.,.,"3,4",39%,38.8,3.1,,DNC,.,.,"3,4",45%,45.4,3.2,"3,4",44%,43.5,2.0,,DNC,.,.,"3,4",62%,61.9,3.2,,---,.,.,,---,.,.,---,.,.,---,.,.
