Focus area:14-Immunization and Infectious Diseases - 03-17-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       Objective                                        ,footnote,1998,raw  ,se  ,footnote,1999,raw  ,se  ,footnote,2000,raw  ,se  ,footnote,2001,raw  ,se  ,footnote,2002,raw  ,se  ,footnote,2003,raw  ,se  ,footnote,2004,raw  ,se  ,footnote,2005,raw  ,se  ,footnote,2006,raw  ,se  ,2007,raw,se,2008,raw,se
                    Persons with diabetes,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,37%,36.7,9.1,,DNC,.,.,1,48%,48.0,11.1,1,36%,35.7,11.3,---,.,.,---,.,.
              STATE:Arizona,,DNC,.,.,1,17%,17.0,4.0,1,32%,31.9,5.1,,DNC,.,.,,DNC,.,.,1,19%,19.3,2.3,,DNC,.,.,1,21%,21.1,2.2,1,25%,24.8,3.0,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,5.7,5.5,"2,1",DSU,35.1,9.2,,DNC,.,.,,DNC,.,.,1,DSU,29.4,12.0,,DNC,.,.,1,DSU,15.0,5.3,1,DSU,16.8,4.8,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,0.0,0.0,"2,1",DSU,63.9,0.0,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,40.9,22.4,,DNC,.,.,1,DSU,32.9,17.9,1,DSU,0.0,0.0,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,4.6,5.1,,DNC,.,.,1,DSU,64.9,19.5,1,DSU,37.8,23.8,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",DSU,19.4,8.8,"2,1",DSU,23.3,17.5,,DNC,.,.,,DNC,.,.,1,DSU,26.6,14.8,,DNC,.,.,1,DSU,10.7,6.3,1,DSU,49.3,10.3,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",19%,19.5,5.2,"2,1",35%,34.7,5.7,,DNC,.,.,,DNC,.,.,1,19%,19.4,2.5,,DNC,.,.,1,20%,20.4,2.4,1,26%,26.0,3.9,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,3.4,2.6,,DNC,.,.,1,DSU,2.4,2.5,1,DSU,65.7,21.6,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,1.5,1.5,,DNC,.,.,1,DSU,2.7,2.9,1,DSU,89.9,6.1,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,12.6,4.3,1,DSU,16.3,7.2,,DNC,.,.,,DNC,.,.,1,DSU,9.8,3.2,,DNC,.,.,1,21%,21.4,5.1,1,20%,20.2,4.5,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,19%,19.3,5.2,1,34%,34.5,5.5,,DNC,.,.,,DNC,.,.,1,21%,21.2,2.7,,DNC,.,.,1,21%,20.7,2.3,1,27%,26.7,3.8,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,19.4,8.8,"2,1",DSU,23.3,17.5,,DNC,.,.,,DNC,.,.,1,DSU,27.9,15.4,,DNC,.,.,1,DSU,10.7,6.3,1,DSU,49.4,10.3,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",20%,19.9,5.6,"2,1",35%,35.0,5.9,,DNC,.,.,,DNC,.,.,1,20%,19.9,2.7,,DNC,.,.,1,21%,21.0,2.6,1,26%,25.7,4.1,---,.,.,---,.,.
                 Female,,DNC,.,.,1,11%,10.6,2.2,1,27%,27.3,5.4,,DNC,.,.,,DNC,.,.,1,18%,18.0,2.4,,DNC,.,.,1,18%,17.6,2.1,1,27%,26.7,4.1,---,.,.,---,.,.
                 Male,,DNC,.,.,1,25%,24.7,7.5,1,37%,37.2,8.2,,DNC,.,.,,DNC,.,.,1,20%,20.1,3.4,,DNC,.,.,1,24%,23.9,3.6,1,23%,22.7,4.4,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,DSU,23.6,8.8,1,DSU,24.7,7.0,,DNC,.,.,,DNC,.,.,1,DSU,25.2,8.7,,DNC,.,.,1,DSU,9.7,3.3,1,DSU,18.5,7.1,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,DSU,8.8,2.9,1,DSU,27.2,6.8,,DNC,.,.,,DNC,.,.,1,17%,17.1,3.0,,DNC,.,.,1,24%,23.9,4.9,1,36%,36.3,8.7,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,21%,21.0,5.8,1,33%,33.5,6.7,,DNC,.,.,,DNC,.,.,1,20%,20.0,2.9,,DNC,.,.,1,24%,23.6,3.0,1,26%,25.9,3.4,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,27%,27.3,5.7,,DNC,.,.,1,30%,29.7,4.5,1,44%,43.5,7.6,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,16%,16.0,2.4,,DNC,.,.,1,18%,17.5,2.4,1,18%,17.8,3.1,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,1,20%,20.0,4.8,1,21%,20.6,5.2,,DNC,.,.,,DNC,.,.,1,16%,15.9,3.0,,DNC,.,.,1,17%,17.2,2.6,,DNC,.,.,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,1,20%,20.5,4.6,1,60%,59.6,10.7,,DNC,.,.,,DNC,.,.,1,30%,30.3,3.2,,DNC,.,.,1,33%,32.8,3.4,1,40%,39.7,4.3,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,1,27%,27.2,6.7,1,DSU,21.4,5.5,,DNC,.,.,,DNC,.,.,1,21%,21.3,4.5,,DNC,.,.,1,30%,29.9,7.5,1,41%,41.3,9.4,---,.,.,---,.,.
              STATE:Arkansas,,DNC,.,.,1,13%,13.1,1.4,,DNC,.,.,1,19%,19.1,2.0,,DNC,.,.,1,19%,18.8,1.6,,DNC,.,.,1,18%,18.3,1.4,1,25%,25.4,1.9,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,"2,1",DSU,63.0,14.5,,DNC,.,.,1,DSU,16.5,6.8,,DNC,.,.,1,DSU,42.5,15.8,,DNC,.,.,1,DSU,27.3,15.1,1,DSU,46.3,11.5,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,"2,1",DSU,22.9,11.8,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,63.9,0.0,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,"2,1",DSU,6.8,2.4,,DNC,.,.,1,22%,22.5,4.9,,DNC,.,.,1,22%,22.4,4.9,,DNC,.,.,1,24%,23.7,5.1,1,9%,9.5,3.3,---,.,.,---,.,.
                 White only,,DNC,.,.,"2,1",12%,12.1,1.5,,DNC,.,.,1,18%,18.1,2.2,,DNC,.,.,1,18%,17.6,1.6,,DNC,.,.,1,17%,17.0,1.3,1,25%,24.5,2.1,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,31.2,16.6,,DNC,.,.,1,DSU,18.3,4.1,,DNC,.,.,1,DSU,23.9,8.4,1,DSU,61.1,15.8,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,32.2,16.7,,DNC,.,.,1,DSU,18.2,4.2,,DNC,.,.,1,DSU,18.7,9.4,1,DSU,42.5,15.1,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,19.4,10.5,1,DSU,100.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,1,DSU,14.9,8.1,,DNC,.,.,1,DSU,22.9,10.1,,DNC,.,.,1,DSU,30.5,11.7,,DNC,.,.,1,DSU,16.4,6.2,1,DSU,17.6,6.3,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,1,13%,12.7,1.4,,DNC,.,.,1,18%,18.5,1.9,,DNC,.,.,1,19%,18.7,1.6,,DNC,.,.,1,18%,18.3,1.4,1,26%,25.9,2.0,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,"2,1",DSU,6.3,2.4,,DNC,.,.,1,22%,22.1,5.0,,DNC,.,.,1,20%,20.2,4.6,,DNC,.,.,1,23%,22.5,5.1,1,DSU,9.0,3.4,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,"2,1",12%,12.3,1.5,,DNC,.,.,1,17%,17.0,2.2,,DNC,.,.,1,18%,17.8,1.7,,DNC,.,.,1,17%,17.3,1.4,1,25%,25.0,2.2,---,.,.,---,.,.
                 Female,,DNC,.,.,1,13%,13.0,1.8,,DNC,.,.,1,17%,16.6,2.0,,DNC,.,.,1,17%,17.5,1.8,,DNC,.,.,1,18%,17.9,1.7,1,25%,25.5,2.4,---,.,.,---,.,.
                 Male,,DNC,.,.,1,13%,13.1,2.2,,DNC,.,.,1,22%,21.8,3.4,,DNC,.,.,1,20%,20.0,2.5,,DNC,.,.,1,19%,18.7,2.2,1,25%,25.1,3.1,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,1,9%,8.5,2.0,,DNC,.,.,1,17%,17.1,3.6,,DNC,.,.,1,18%,18.1,4.3,,DNC,.,.,1,21%,20.5,4.6,1,38%,37.6,5.7,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,1,15%,15.1,2.4,,DNC,.,.,1,19%,18.8,3.0,,DNC,.,.,1,18%,18.2,2.5,,DNC,.,.,1,18%,17.7,2.1,1,25%,24.7,2.7,---,.,.,---,.,.
                 At least some college,,DNC,.,.,1,12%,11.8,1.8,,DNC,.,.,1,17%,17.3,2.1,,DNC,.,.,1,20%,19.7,2.0,,DNC,.,.,1,21%,21.1,2.0,1,26%,26.3,2.6,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,29%,29.0,4.0,,DNC,.,.,1,27%,26.5,3.4,,DNC,.,.,1,24%,24.2,2.6,1,28%,28.3,3.0,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,14%,14.1,2.2,,DNC,.,.,1,14%,14.4,1.7,,DNC,.,.,1,16%,15.6,1.7,1,21%,21.1,2.4,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,1,11%,10.5,1.6,,DNC,.,.,1,16%,16.3,2.5,,DNC,.,.,1,16%,15.5,1.9,,DNC,.,.,1,16%,16.1,1.8,,DNC,.,.,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,1,20%,19.8,2.3,,DNC,.,.,1,28%,27.7,2.5,,DNC,.,.,1,28%,28.4,1.9,,DNC,.,.,1,27%,26.9,1.6,1,43%,42.5,2.3,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,1,19%,18.8,5.1,,DNC,.,.,1,21%,21.1,4.9,,DNC,.,.,1,19%,18.5,3.4,,DNC,.,.,1,26%,25.8,4.4,1,22%,22.4,3.4,---,.,.,---,.,.
              STATE:California,,DNC,.,.,,DNC,.,.,1,21%,21.3,2.0,,DNC,.,.,,DNC,.,.,1,22%,21.6,1.6,,DNC,.,.,1,17%,17.2,1.2,1,17%,16.7,1.5,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,"2,1",DSU,11.4,12.1,,DNC,.,.,,DNC,.,.,1,DSU,17.4,7.8,,DNC,.,.,1,DSU,16.9,4.5,1,DSU,42.0,14.6,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,"2,1",DSU,30.9,13.5,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,25.4,8.4,,DNC,.,.,1,DSU,20.4,6.1,1,DSU,14.3,7.2,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,12.0,10.9,,DNC,.,.,1,DSU,20.1,10.4,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,,DNC,.,.,"2,1",DSU,24.0,7.6,,DNC,.,.,,DNC,.,.,1,31%,31.2,5.9,,DNC,.,.,1,16%,15.6,4.0,1,20%,19.8,4.1,---,.,.,---,.,.
                 White only,,DNC,.,.,,DNC,.,.,"2,1",20%,20.2,2.2,,DNC,.,.,,DNC,.,.,1,21%,20.9,1.8,,DNC,.,.,1,17%,17.0,1.4,1,17%,16.8,1.7,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,18.0,6.6,,DNC,.,.,1,DSU,24.2,8.3,1,20%,19.6,5.1,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,12.7,6.2,,DNC,.,.,1,DSU,25.5,10.6,1,DSU,24.8,11.9,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,12.5,10.0,,DNC,.,.,1,DSU,63.9,0.0,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,,DNC,.,.,1,18%,17.5,4.2,,DNC,.,.,,DNC,.,.,1,22%,22.0,3.3,,DNC,.,.,1,14%,13.7,2.0,1,9%,9.3,2.2,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,,DNC,.,.,1,23%,23.1,2.3,,DNC,.,.,,DNC,.,.,1,21%,21.3,1.7,,DNC,.,.,1,19%,19.2,1.6,1,21%,20.9,2.0,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,,DNC,.,.,"2,1",DSU,27.6,8.1,,DNC,.,.,,DNC,.,.,1,27%,26.7,5.4,,DNC,.,.,1,20%,19.7,5.4,1,DSU,24.0,6.0,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,,DNC,.,.,"2,1",21%,20.9,2.4,,DNC,.,.,,DNC,.,.,1,21%,20.8,1.9,,DNC,.,.,1,19%,18.6,1.8,1,21%,21.2,2.3,---,.,.,---,.,.
                 Female,,DNC,.,.,,DNC,.,.,1,21%,21.2,2.5,,DNC,.,.,,DNC,.,.,1,20%,20.3,2.0,,DNC,.,.,1,13%,13.3,1.3,1,17%,16.9,1.9,---,.,.,---,.,.
                 Male,,DNC,.,.,,DNC,.,.,1,21%,20.9,3.3,,DNC,.,.,,DNC,.,.,1,23%,22.6,2.3,,DNC,.,.,1,21%,20.7,2.1,1,16%,16.5,2.4,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,,DNC,.,.,1,DSU,16.5,5.6,,DNC,.,.,,DNC,.,.,1,15%,14.6,3.7,,DNC,.,.,1,11%,11.0,2.4,1,7%,6.5,1.7,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,,DNC,.,.,1,20%,19.6,4.4,,DNC,.,.,,DNC,.,.,1,23%,22.8,3.5,,DNC,.,.,1,18%,18.3,3.0,1,28%,27.9,4.6,---,.,.,---,.,.
                 At least some college,,DNC,.,.,,DNC,.,.,1,24%,24.4,2.8,,DNC,.,.,,DNC,.,.,1,20%,20.3,1.9,,DNC,.,.,1,19%,19.0,1.7,1,19%,18.6,1.8,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,25%,25.1,3.0,,DNC,.,.,1,29%,28.9,3.7,1,28%,27.6,3.7,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,20%,20.0,1.8,,DNC,.,.,1,14%,14.5,1.3,1,12%,12.0,1.6,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,,DNC,.,.,1,15%,14.8,2.2,,DNC,.,.,,DNC,.,.,1,19%,18.9,1.8,,DNC,.,.,1,15%,15.5,1.5,,DNC,.,.,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,,DNC,.,.,1,39%,38.8,4.9,,DNC,.,.,,DNC,.,.,1,27%,27.3,2.6,,DNC,.,.,1,23%,22.8,2.0,1,31%,31.1,2.6,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,,DNC,.,.,1,23%,23.0,4.1,,DNC,.,.,,DNC,.,.,1,24%,24.4,3.8,,DNC,.,.,1,25%,24.9,4.3,1,23%,23.0,4.1,---,.,.,---,.,.
              STATE:Colorado,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,22.4,2.3,1,19%,19.2,1.6,1,21%,21.1,1.8,,DNC,.,.,1,24%,24.2,1.7,1,24%,24.4,1.8,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,27.9,17.3,1,DSU,47.0,15.5,1,DSU,5.6,5.2,,DNC,.,.,1,DSU,35.1,12.0,1,DSU,6.9,3.6,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,9.8,8.2,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,51.0,9.1,1,DSU,9.1,6.2,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,,DNC,.,.,1,DSU,77.7,20.5,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,35.6,9.1,1,DSU,20.0,9.4,1,DSU,14.4,7.7,,DNC,.,.,1,DSU,19.6,9.6,1,DSU,18.1,6.4,---,.,.,---,.,.
                 White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,21%,21.5,2.6,1,16%,16.3,1.5,1,22%,22.0,2.0,,DNC,.,.,1,23%,23.3,1.8,1,24%,24.4,2.0,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,28.3,12.2,1,DSU,32.9,11.4,1,DSU,19.2,9.1,,DNC,.,.,1,DSU,28.2,9.9,1,DSU,25.4,11.0,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,13.2,9.5,1,DSU,58.5,16.0,1,DSU,14.7,6.6,,DNC,.,.,1,DSU,20.1,11.8,1,DSU,6.4,6.0,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,43.9,19.5,,DNC,.,.,1,DSU,100.0,0.0,,DNC,.,.,1,DSU,33.4,31.5,,DNC,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,15%,15.1,4.2,1,24%,24.0,5.0,1,17%,17.0,3.6,,DNC,.,.,1,22%,22.2,4.9,1,20%,19.8,4.3,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,23.5,2.6,1,18%,18.0,1.6,1,22%,21.9,2.0,,DNC,.,.,1,25%,24.7,1.8,1,25%,25.1,2.1,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,35.6,9.1,1,DSU,20.0,9.4,1,DSU,14.4,7.7,,DNC,.,.,1,DSU,19.4,9.6,1,DSU,14.7,5.3,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,1,22%,22.2,2.8,1,17%,16.6,1.6,1,22%,22.4,2.1,,DNC,.,.,1,24%,24.3,1.9,1,26%,25.8,2.2,---,.,.,---,.,.
                 Female,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,19%,18.8,2.6,1,17%,17.2,1.9,1,22%,21.6,2.4,,DNC,.,.,1,22%,21.5,1.8,1,26%,25.9,2.3,---,.,.,---,.,.
                 Male,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,28%,27.5,4.2,1,21%,20.7,2.5,1,21%,20.6,2.7,,DNC,.,.,1,27%,26.7,2.7,1,23%,22.8,3.0,---,.,.,---,.,.
                 Less than high school,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,17.3,7.4,1,14%,13.9,4.3,1,DSU,12.0,3.9,,DNC,.,.,1,26%,26.3,5.5,1,DSU,28.9,8.3,---,.,.,---,.,.
                 High school graduate,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,20%,19.9,4.2,1,30%,29.8,4.1,1,24%,24.3,3.9,,DNC,.,.,1,23%,23.0,3.2,1,22%,22.0,3.6,---,.,.,---,.,.
                 At least some college,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,21%,21.1,2.6,1,17%,16.8,1.8,1,21%,21.2,2.0,,DNC,.,.,1,21%,21.3,1.7,1,26%,25.8,2.0,---,.,.,---,.,.
                 Persons with disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,31%,31.5,5.2,,DNC,.,.,1,22%,21.9,3.4,,DNC,.,.,1,28%,28.2,3.1,1,30%,30.3,4.2,---,.,.,---,.,.
                 Persons without disabilities,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,19%,19.2,2.6,,DNC,.,.,1,20%,20.3,2.1,,DNC,.,.,1,22%,22.2,1.9,1,21%,21.3,2.0,---,.,.,---,.,.
                    Persons aged 18 to 49 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,1,19%,18.9,2.9,1,16%,15.7,1.9,1,18%,18.0,2.1,,DNC,.,.,1,22%,21.7,2.0,,DNC,.,.,---,.,.,---,.,.
                    Persons aged 50 to 64 years (not age adjusted),,DNC,.,.,,DNC,.,.,,DNC,.,.,1,32%,32.5,3.9,1,28%,28.0,2.6,1,30%,29.5,2.5,,DNC,.,.,1,30%,29.7,1.9,1,41%,41.1,2.8,---,.,.,---,.,.
                    Persons with diabetes,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,43.1,9.6,1,31%,30.6,5.7,1,46%,46.0,7.5,,DNC,.,.,1,37%,36.6,6.0,1,36%,36.2,5.6,---,.,.,---,.,.
              STATE:Connecticut,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,20%,19.9,1.5,1,19%,18.7,1.5,1,16%,15.8,1.2,1,23%,22.9,1.7,---,.,.,---,.,.
                 American Indian or Alaska Native only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,51.9,19.2,1,DSU,4.0,4.2,1,DSU,16.0,8.6,---,.,.,---,.,.
                 Asian or Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,---,.,.,---,.,.
                    Asian only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,7.1,5.8,1,DSU,8.1,8.0,1,DSU,9.5,5.9,1,DSU,7.2,5.3,---,.,.,---,.,.
                    Native Hawaiian or Other Pacific Islander only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,0.0,0.0,---,.,.,---,.,.
                 Black or African American only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,24.0,6.4,1,16%,16.4,5.0,1,18%,17.9,4.0,1,28%,27.5,5.6,---,.,.,---,.,.
                 White only,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,19%,19.2,1.6,1,19%,18.8,1.6,1,16%,15.8,1.3,1,22%,21.9,1.8,---,.,.,---,.,.
                 2 or more races,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,36.1,0.0,1,DSU,0.0,0.0,1,DSU,12.1,5.3,1,DSU,74.9,7.5,---,.,.,---,.,.
                    American Indian or Alaska Native; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,36.1,0.0,1,DSU,0.0,0.0,1,DSU,18.7,7.2,1,DSU,77.2,9.8,---,.,.,---,.,.
                    Black or African American; White,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,DSU,0.0,0.0,1,DSU,0.0,0.0,1,DSU,15.9,9.2,,DNC,.,.,---,.,.,---,.,.
                 Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,35%,35.1,7.3,1,18%,18.5,4.0,1,16%,16.1,3.6,1,28%,28.2,5.2,---,.,.,---,.,.
                 Not Hispanic or Latino,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,19%,18.7,1.5,1,19%,19.0,1.6,1,16%,15.7,1.2,1,22%,22.0,1.7,---,.,.,---,.,.
"                    Black or African American only, not Hisp/Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,24%,24.0,6.4,1,DSU,16.6,5.6,1,17%,17.4,4.0,1,25%,25.3,5.7,---,.,.,---,.,.
"                    White only, not Hispanic or Latino",,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,,DNC,.,.,1,19%,18.7,1.6,1,19%,19.0,1.6,1,16%,15.8,1.4,1,22%,21.7,1.9,---,.,.,---,.,.
